disciplina,turma,carga_horaria,r_seg,r_ter,r_qua,r_qui,r_sex
A ESPECIE HUMANA E A RELACAO COM OS RECURSOS NATURAIS,2i01 EM-HUM,3,,,"1,2,3,4,5,6,7",,
A ESPECIE HUMANA E A RELACAO COM OS RECURSOS NATURAIS,3i01 EM-HUM,3,,,"1,2,3,4,5,6,7",,
ADMINISTRACAO FINANCEIRA,3i01 EM-ADM,2,,,,,
ADMINISTRACAO FINANCEIRA,3i02 EM-ADM,2,,,,,
ALGORITMO E LOGICA DE PROGRAMCAO,1i01 EM-IPI,3,,,,,
ANALISE E PROJETO DE SISTEMAS,3i01 EM-IPI,2,,,,,
APLICATIVOS WEB,2i01 EM-IPI,2,,,,,
APLICATIVOS WEB,2i02 EM-IPI,2,,,,,
ARQUITETURA. SEGURANCA E PROJETOS DE REDE,3i01 EM-IPI,3,,,,,
ARTE,1i01 EM-HUM,2,,,,"1,2,3,4,5,6,7",
ARTE,1i01 EM-IPI,2,,,,"1,2,3,4,5,6,7",
ARTE,1i02 EM-HUM,2,,,,"1,2,3,4,5,6,7",
ARTE,1i03 EM-HUM,2,,,,"1,2,3,4,5,6,7",
BANCO DE DADOS,2i01 EM-IPI,2,,,,,
BANCO DE DADOS,2i02 EM-IPI,2,,,,,
BIOLOGIA,2i01 EM-ADM,2,,,"1,2,3,4,5,6,7",,
BIOLOGIA,2i01 EM-HUM,2,,,"1,2,3,4,5,6,7",,
BIOLOGIA,2i01 EM-IPI,2,,,"1,2,3,4,5,6,7",,
BIOLOGIA,2i02 EM-IPI,2,,,"1,2,3,4,5,6,7",,
BIOLOGIA,3i01 EM-ADM,2,,,"1,2,3,4,5,6,7",,
BIOLOGIA,3i01 EM-HUM,2,,,"1,2,3,4,5,6,7",,
BIOLOGIA,3i01 EM-IPI,2,,,"1,2,3,4,5,6,7",,
BIOLOGIA,3i02 EM-ADM,2,,,"1,2,3,4,5,6,7",,
COMUNICACAO E BRANDING,3i01 EM-ADM,3,,,,,
COMUNICACAO E BRANDING,3i02 EM-ADM,3,,,,,
COOPERATIVISMO,2i01 EM-ADM,2,,,,,
CULTURA DIGITAL,2i01 EM-ADM,2,,,,,
CULTURA DIGITAL,2i01 EM-IPI,2,,,,,
CULTURA DIGITAL,2i02 EM-IPI,2,,,,,
DESENVOLVIMENTO DE GAMES,3i01 EM-IPI,2,,,,,
DESENVOLVIMENTO DE SISTEMAS,3i01 EM-IPI,3,,,,,
DIREITO EMPRESARIAL E TRIBUTARIO,3i01 EM-ADM,2,,,,,
DIREITO EMPRESARIAL E TRIBUTARIO,3i02 EM-ADM,2,,,,,
E-COMMERCE,3i01 EM-ADM,2,,,,,
E-COMMERCE,3i02 EM-ADM,2,,,,,
ECONOMIA,2i01 EM-ADM,2,,,,,
EDUCACAO FISICA,1i01 EM-HUM,2,1,1,1,"1,2,3,4,5,6,7",1
EDUCACAO FISICA,1i01 EM-IPI,2,1,1,1,"1,2,3,4,5,6,7",1
EDUCACAO FISICA,1i02 EM-HUM,2,1,1,1,"1,2,3,4,5,6,7",1
EDUCACAO FISICA,1i03 EM-HUM,2,1,1,1,"1,2,3,4,5,6,7",1
ELETIVA,1i01 EM-HUM,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,1i01 EM-IPI,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,1i02 EM-HUM,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,1i03 EM-HUM,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,2i01 EM-ADM,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,2i01 EM-HUM,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,2i01 EM-IPI,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,2i02 EM-IPI,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,3i01 EM-ADM,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,3i01 EM-HUM,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,3i01 EM-IPI,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ELETIVA,3i02 EM-ADM,2,"1,2,3,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,5,6,7"
ESTUDO ORIENTADO,1i01 EM-HUM,2,7,"1,2,3,4,5,6,7","1,2,7","1,2,7",7
